word,pos,definition,section
aboveboard,adjective,open and honest,basic
abysmal,adjective,extremely bad,basic
acme,noun,the highest point of achievement,basic
advocate,verb,"speak, plead, or argue in favor of",basic
advocate,noun,a person who pleads for a cause or propounds an idea,basic
affable,adjective,likeable; easy to talk to,basic
affluent,adjective,wealthy,basic
altruism,noun,the quality of unselfish concern for the welfare of others,basic
amiable,adjective,friendly,basic
amply,adverb,more than is adequate,basic
amuck,adverb,in a frenzied or uncontrolled state,basic
analogous,adjective,similar in some respects but otherwise different,basic
animosity,noun,intense hostility,basic
antedated,verb,precede in time,basic
antiquated,adjective,old-fashioned; belonging to an earlier period in time,basic
apex,noun,the highest point,basic
aphorism,noun,a short instructive saying about a general truth,basic
aphoristic,adjective,something that is a concise and instructive of a general truth or principle,basic
appreciable,adjective,large enough to be noticed (usu. refers to an amount),basic
apprehension,noun,fearful expectation,basic
archaic,adjective,so old as to appear to belong to a different period,basic
ascendancy,noun,the state that exists when one person or group has power over another,basic
ascribe,verb,attribute or credit to,basic
assail,verb,attack in speech or writing,basic
assuage,verb,make something intense less severe,basic
augment,verb,enlarge or increase; improve,basic
autonomously,adverb,In an autonomous or self-governing manner. Many of the factory workers are worried about being replaced by machines and computers that will work completely autonomously.,basic
avarice,noun,greed (one of the seven deadly sins),basic
avert,verb,turn away,basic
avert,verb,ward off or prevent,basic
avid,adjective,marked by active interest and enthusiasm,basic
badger,verb,to pester,basic
balk,verb,refuse to comply,basic
banish,verb,"expel from a community, residence, or location; drive away",basic
beatific,adjective,blissfully happy,basic
becoming,adjective,"appropriate, and matches nicely",basic
begrudge,verb,to envy someone for possessing or enjoying something,basic
begrudge,verb,to give reluctantly,basic
behooves,verb,to be one's duty or obligation,basic
belittle,verb,"lessen the importance, dignity, or reputation of",basic
bellicose,adjective,warlike; inclined to quarrel,basic
benign,adjective,kind,basic
benign,adjective,(medicine) not dangerous to health; not recurrent or progressive,basic
besiege,verb,"harass, as with questions or requests; cause to feel distressed or worried",basic
besmirch,verb,damage the good name and reputation of someone,basic
bleak,adjective,having a depressing or gloomy outlook,basic
boon,noun,a desirable state,basic
boon,adjective,very close and convivial,basic
boorish,adjective,ill-mannered and coarse or contemptible in behavior or appearance,basic
brusquely,adverb,"in a blunt, direct manner",basic
buck,verb,resist,basic
buttress,verb,make stronger or defensible,basic
cadaverous,adjective,emaciated; gaunt,basic
candid,adjective,a straightforward and honest look at something,basic
candidness,noun,the quality of being honest and straightforward in attitude and speech,basic
cardinal,adjective,of primary importance; fundamental,basic
carping,adjective,persistently petty and unjustified criticism,basic
catalyst,noun,something that speeds up an event,basic
cavalier,adjective,given to haughty disregard of others,basic
censor,verb,to examine and remove objectionable material,basic
cerebral,adjective,involving intelligence rather than emotions or instinct,basic
champion,verb,protect or fight for as a champion,basic
chauvinist,noun,a person who believes in the superiority of their group,basic
check,verb,to limit (usually modifying the growth of something),basic
check,noun,the condition of being held back or limited,basic
checkered,adjective,one that is marked by disreputable happenings,basic
chivalrous,adjective,being attentive to women like an ideal knight,basic
