word,syn,orig_text,mod_text,sim_score,syn_pos_context,syn_pos,label,lesk,bert_wsd
check,see," Yet, although we see all kinds of families on television now, it seems like some people still take their idea of what a ""real"" family looks like from the 1950s sitcoms"," Yet, although we check all kinds of families on television now, it seems like some people still take their idea of what a ""real"" family looks like from the 1950s sitcoms",0.988222003,verb,verb,0,Synset('check.v.18'),Synset('greathearted.s.01')
check,see,""" No matter how the negative versus positive comments weigh, we're happy to see that this little girl has so many people in her corner, and that her parents and their new spouses are friendly enough to show up to her soccer game wearing custom-made shirts",""" No matter how the negative versus positive comments weigh, we're happy to check that this little girl has so many people in her corner, and that her parents and their new spouses are friendly enough to show up to her soccer game wearing custom-made shirts",0.99194324,verb,verb,0,Synset('match.v.01'),Synset('patronize.v.04')
corroborate,support," But, thankfully, the positive responses and support for Plaayer's family seems to outweigh the bad"," But, thankfully, the positive responses and corroborate for Plaayer's family seems to outweigh the bad",0.990419984,noun,verb,0,Synset('validate.v.03'),Synset('minimize.v.03')
corroborate,support," Two Dad's, two moms, 4 grandmas and a big ass support system,"" another wrote"," Two Dad's, two moms, 4 grandmas and a big ass corroborate system,"" another wrote",0.972239435,noun,verb,0,Synset('validate.v.03'),Synset('confirm.v.01')
corroborate,support," Then, instead of being 'petty' as you are all claiming it is, they constantly worked together to support us and make us happy"," Then, instead of being 'petty' as you are all claiming it is, they constantly worked together to corroborate us and make us happy",0.959698439,verb,verb,0,Synset('corroborate.v.03'),Synset('incontrovertible.s.01')
corroborate,support, I have an amazing support system of four people's families that treat me like their own and four parents whom I can go to with anything, I have an amazing corroborate system of four people's families that treat me like their own and four parents whom I can go to with anything,0.981328189,noun,verb,0,Synset('corroborate.v.03'),Synset('incontrovertible.s.01')
detrimental,damaging," Some people attacked her message, saying that having a child spend time with both sets of parents is confusing and damaging, and that if the parents really wanted to spend time together, they should have stayed together"," Some people attacked her message, saying that having a child spend time with both sets of parents is confusing and detrimental, and that if the parents really wanted to spend time together, they should have stayed together",0.996288896,adjective,adjective,1,Synset('damaging.s.01'),Synset('damaging.s.01')
devolve,fall," ""Because of us, I will never believe co-parenting can't work! I KNOW through experience it CAN WORK! Choose to do what's best for your child and everything will just fall into place,"" Plaayer wrote when she posted the photo to both Instagram and Facebook"," ""Because of us, I will never believe co-parenting can't work! I KNOW through experience it CAN WORK! Choose to do what's best for your child and everything will just devolve into place,"" Plaayer wrote when she posted the photo to both Instagram and Facebook",0.99838537,verb,verb,0,Synset('devolve.v.01'),Synset('greathearted.s.01')
patronize,support," But, thankfully, the positive responses and support for Plaayer's family seems to outweigh the bad"," But, thankfully, the positive responses and patronize for Plaayer's family seems to outweigh the bad",0.987273455,noun,verb,0,Synset('sponsor.v.01'),Synset('confirm.v.01')
patronize,support," Two Dad's, two moms, 4 grandmas and a big ass support system,"" another wrote"," Two Dad's, two moms, 4 grandmas and a big ass patronize system,"" another wrote",0.965924978,noun,verb,0,Synset('patronize.v.04'),Synset('patronize.v.04')
